Description,English Text,Spanish,Russian,Brazilian-Portugese,French,German,Swedish,Pirate Speak,,
Rogue Hint 1 - before unlocking dash,"""Go South from the Shrine, enter the dark.""","""Vaya al Santuario, y entre en la oscuridad.""","""Следуй на Юг от Алтаря, войди в темноту.""","""Vá para o sul do santuário, entre na escuridão.""","""Va au Sud depuis l'Autel, entre dans l'obscurité.""","""Gehe vom Schrein in gen Süden, hinein in die Dunkelheit. ""","""Gå söder om helgongraven och gå in i mörkret""","""Sail south from th' shrine, enter Davey Jones' locker""",,""""""
Rogue Hint 2 - before unlocking dash,"""There you will find great speed.""","""Ahí encontrará gran velocidad.""","""Там ты обретешь большую скорость.""","""Aqui você vai encontrar grande velocidade.""","""Là-bas, tu trouveras une grande vitesse.""","""Dort wirst du zu großer Schnelligkeit gelangen. ""","""Där inne kommer du finna hög hastighet.""","""There ya will find some faster sails!""",,""""""
Rogue Hint 3 - before defeating dog,"""Enter the Dark, South of the Witch.""","""Entre a la oscuridad, al sur de la bruja.""","""Войди в темноту Южнее дома Ведьмы""","""Entre na escuridão, ao sul da bruxa.""","""Entre dans l'Obscurité, au Sud de la Sorcière. ""","""Tritt ein in die Dunkelheit, südlich der Hexe. ""","""Gå in i mörkret, Söder om häxan.""","""Sail into tha bilge, south of tha sea witch""",,""""""
Rogue Hint 4 - before defeating dog,"""To the East is the Wolf that blocks you.""","""Al este se encuentra el lobo que le impide el paso.""","""На Востоке ты встретишь Волка, который преграждает тебе путь""","""No leste está o lobo que te impede.""","""A l'Est se trouve le Loup qui te bloque le chemin.""","""Gen Osten ist der Wolf, an dem man nicht vorbeikommt.""","""Till öster är vargen som stoppar dig""","""Then sail east ta find the mangy mutt""",,""""""
Rogue Hint 5 - after defeating dog,"""Go to the North, in the Dark.""","""Vaya al norte, a la oscuridad.""","""Следуй на Север, в Темноту""","""Vá para o norte, para a escuridão.""","""Va au Nord, dans l'Obscurité.""","""Gehe nach Norden, in die Dunkelheit.""","""Go mot norr, In i mörkret.""","""Sail north, into the bilge""",,""""""
Rogue Hint 6 - after defeating dog,"""The Shadow will reveal itself there.""","""La sombra se revelará ahí.""","""Там тень раскроет себя""","""Lá a sombra se revelará.""","""L'Ombre s'y dévoilera là-bas.""","""Der Schatten wird sich dort enthüllen.""","""Skuggan kommer att uppenbara sig där.""","""The Devil himself will be before yer eyes""",,""""""
Left Secret 1,"""The Light and Dark""","""La Luz y la Oscuridad""","""Свет и Тьма""","""A luz e a escuridão.""","""La Lumière et l'Obscurité""","""Das Licht und der Schatten""","""Ljuset och mörkret.""","""Tha light 'n tha dark""",,""""""
,"""Were torn apart""","""Fueron separadas""","""Разорваны надвое""","""Foram separadas.""","""Ont été déchirés ""","""Sie wurden getrennt""","""De slets isär.""","""were ripped in two""",,""""""
,"""And all the blossoms withered""","""Y todas las flores se marchitaron.""","""И все цветы засохли""","""E todas a flores murcharam.""","""Et toutes les fleurs se sont fanées""","""Und alle Blüten welkten""","""Och all blomstring vissnade""","""and tha weeds grew dim and dark""",,""""""
Right Secret 1,"""Torn in two""","""Divididas en dos""","""Порваны надвое""","""Separadas em dois.""","""Déchiré en deux""","""Zerissen entzwei""","""Sliten itu.""","""Split in two""",,""""""
,"""Twin eternals fought""","""Las gemelas eternas peleaban""","""Вечные близнецы сражались""","""Gêmeos eternos lutaram.""","""Des jumeaux éternels se sont battus""","""Sie kämpften ans Ende der Zeit""","""De eviga tvilingarna slogs.""","""they dueled for the rest 'a time""",,""""""
,"""Until their worlds were distant""","""Hasta que sus mundos fueron distantes""","""Пока их миры не разделились""","""Até que seus mundos ficassem distantes.""","""Jusqu'à ce que leurs mondes soient distants""","""Bis ihre Welten waren distant""","""Tills deras världar låg långt isär""","""until tha two worlds sailed into the sunset""",,""""""
Middle Secret 1,"""The price was paid""","""El precio fue pagado""","""Цена заплачена""","""O preço foi pago.""","""Le prix a été payé""","""Der Preis wurde bezahlt ""","""Priset betalades.""","""The devil was paid""",,""""""
,"""Lianthus' eternal life""","""La vida eterna de Lianthus""","""Вечная жизнь Лиантуса""","""A vida eterna de Lianthus.""","""La vie éternelle de Lianthus ""","""Lianthusʼ ewiges Leben""","""Lianthus eviga liv""","""Lianthus walked tha plank""",,""""""
,"""So his flowers would bloom anew""","""Para que sus flores vuelvan a florecer""","""Так его цветы зацветут вновь""","""Então as flores voltaram a florescer.""","""Pour que ses fleurs s'épanouissent à nouveau ""","""Auf dass seine Blumen neu erblühen würden ""","""Så hans blommor kan  blomma igen.""","""so his treasure would bloom once more""",,""""""
Splash Screen,"""Icon shown when saving""","""Icono mostrado cuando el juego se guarda.""","""При сохранении отображается иконка""","""Ícone mostrado enquanto o jogo salva.""","""Icône affichée pendant la sauvegarde ""","""Dieses Symbol zeigt an, dass gespeichert wird. ""","""Ikonen visas när spelet sparas""","""Arrr, don't walk the plank when this shows up!""",,""""""
Clone tutorial (xbox),"""'Y' button to clone""","""«Y» para clonar""","""""Y"" для клонирования""","""Y' para clonar.""","""""Y"" pour se cloner ""","""»Y« zum Klonen""","""Tryck 'Y' för att klona""","""Mash th' ""Y"" button ta clone""",,""""""
Clone tutorial (ps4),"""Triangle button to clone""","""«Triangulo» para clonar""","""""Треугольник"" для клонирования""","""Triângulo para clonar.""","""""Triangle"" pour se cloner""","""»Dreieck« zum Klonen""","""Tryck 'Trekant' för att klona""","""Mash th' ""Y"" button ta clone""",,""""""
Clone tutorial (keyboard),"""Shift to clone""","""«Shift» para clonar""","""Shift для клонирования""","""Shift para clonar.""","""""Shift"" pour se cloner ""","""»Shift« zum Klonen""","""Tryck 'Shift' för att klona""","""Mash th' ""Shift"" button ta clone""",,""""""
Title Screen,"""Enter""","""Entrar""","""Подтвердить""","""Entrar""","""Entrer ""","""Los""","""Börja""","""Set Sail""",,""""""
,"""Options""","""Configuración""","""Настройки""","""Opções""","""Options ""","""Optionen""","""Inställningar""","""Captain's Orders""",,""""""
,"""Credits""","""Créditos""","""Титры""","""Créditos""","""Crédits ""","""Mitwirkende""","""Eftertexter""","""Ship's Crew""",,""""""
,"""Exit""","""Salir""","""Выход""","""Sair""","""Quitter ""","""Beenden""","""Avsluta""","""Abandon Ship""",,""""""
Options Screen,"""Return""","""Volver""","""Назад""","""Voltar""","""Retour""","""Zurück""","""Bakåt""","""Plunder""",,""""""
,"""Palette""","""Paleta de colores""","""Палитра""","""Paleta de cores""","""Palette""","""Palette""","""Palette""","""Vision""",,""""""
,"""Music""","""Música""","""Музыка""","""Música""","""Musique""","""Musik""","""Musik""","""Tunes""",,""""""
,"""Sound""","""Sonidos""","""Звук""","""Som""","""Son""","""Ton""","""Ljud""","""Shoutin'""",,""""""
,"""Pixely""","""Pixelación""","""Пикселизация""","""Pixelização""","""Pixellisation""","""Auflösung ""","""Pixelig""","""Double Vision""",,""""""
,"""Fullscreen""","""Pantalla completa""","""Полноэкранный режим""","""Tela cheia""","""Plein écran ""","""Vollbild""","""Full skärm""","""Giant Porthole""",,""""""
,"""Language""","""Idioma""","""Язык""","""Idioma""","""Langage""","""Sprache""","""Språk""","""Lingo""",,""""""
yes variants,"""yes""","""si""","""да""","""sim""","""oui""","""ja""","""Ja""","""aye""",,""""""
,"""yes""","""si""","""ага""","""sim""","""oui""","""jap""","""Ja""","""aye""",,""""""
,"""true""","""verdadero""","""точно""","""verdadeiro""","""exact""","""genau""","""Sant""","""ya""",,""""""
,"""true""","""cierto""","""действительно""","""verdadeiro""","""exact""","""exakt""","""Korrekt""","""ya""",,""""""
,"""heck yeah!""","""¡claro que sí!""","""чёрт подери, да!""","""claro!""","""Et comment!""","""ja verdammt!""","""Korrekt""","""aye aye, captain!""",,""""""
,"""indubitably""","""sin duda""","""несомненно""","""sem dúvida""","""sans aucun doute ""","""zweifellos""","""Självklart""","""land ho!""",,""""""
no variants,"""no""","""no""","""нет""","""não""","""non""","""nein""","""Nej""","""nay""",,""""""
,"""no""","""no""","""нет""","""não""","""non""","""nö""","""Nej""","""nay""",,""""""
,"""false""","""falso""","""ложь""","""falso""","""faux""","""falsch""","""Falskt""","""nah""",,""""""
,"""not true""","""no es cierto""","""неправда""","""incorreto""","""pas vrai""","""das stimmt nicht""","""Inte sant""","""it be false""",,""""""
,"""no way!""","""¡ni hablar!""","""ни в коем случае!""","""de jeito nenhum""","""pas question!""","""niemals! ""","""Aldrig!""","""shiver me timbers!""",,""""""
,"""by no means""","""de ninguna manera""","""ни в коем случае!""","""de maneira nenhuma""","""en aucun cas ""","""auf keinen Fall""","""Inte en chans""","""no way, matey!""",,""""""
Rogue Dark Before Boss 1,"""Go no further.""","""Alto ahí.""","""Ни шагу больше.""","""Parado aí""","""N'allez pas plus loin.""","""Geh nicht weiter. ""","""Inte ett steg till!""","""Sail no further...""",,""""""
Rogue Dark Before Boss 2,"""Before you is our master,""","""Ante ti está nuestro maestro.""","""Перед тобой наш господин""","""Diante de você está o seu mestre.""","""Devant vous est notre maître,""","""Vor dir steht unser Meister, ""","""Framför dig är våran mästare,""","""Before ye is the devil himself...""",,""""""
Rogue Dark Before Boss 3,"""Your undead body has no chance.""","""Tu cuerpo de muerto viviente no tiene ninguna posibilidad""","""Твое полумёртвое тело не имеет ни единого шанса""","""Seu corpo de morto vivo não tem nenhuma chance.""","""Votre corps de mort-vivant n'a aucune chance.""","""Dein untoter Körper hat keine Chance. ""","""Din odöda kropp har inte en chans.""","""Ya've got no chance, matey!""",,""""""
Rogue Dark Before Boss 4,"""So my visions tell me.""","""Eso me han mostrado las visiones.""","""Так говорят видения.""","""Assim me dizem as minhas visões.""","""C'est ce que me disent mes visions.""","""So sagen es mir meine Visionen. ""","""Det säger mina uppenbarelser.""","""That's what me visions are sayin'""",,""""""
Witch Before Boss,"""Skele! Please come help!""","""¡Skele! ¡Ven a ayudarme!""","""Скеле! Помоги!""","""Skele! Por favor me ajude!""","""Skele! S'il te plaît, viens m'aider! ""","""Skele! Bitte komm mir zur Hilfe!""","""Skele! Snälla kom och hjälp mig!""","""Oy, dead man! Need some help, lad!""",,""""""
Boy Before Boss,"""Head towards me skele!""","""¡Ven a mí, Skele!""","""Пожалуйста, иди сюда!""","""Vem aqui, Skele!""","""Viens vers moi Skele! ""","""Komm zu mir, Skele! ""","""Gå mot mig Skele!""","""Rattlebones! Ov'r here, mate!""",,""""""
Rogue Before Boss,"""Just a bit closer!""","""¡Un poco más!""","""Еще немного!""","""Mais um pouco!""","""Juste un peu plus proche!""","""Noch ein bisschen näher! ""","""Bara lite närmre!""","""Get over here, lad""",,""""""
Shadow 1,"""You fool.""","""Idiota.""","""Глупец!""","""Seu idiota.""","""Imbécile.""","""Du Narr.""","""Din idiot.""","""Filthy landlubber...""",,""""""
Shadow 2,"""You've come to my world now.""","""Has entrado a mi mundo.""","""Ты ступил на мою территорию""","""Você entrou no meu mundo.""","""Tu es dans mon domaine désormais.""","""Nun bist du in meiner Welt.""","""Du har kommit till min värld.""","""I'm tha captain of th' ship now, matey!""",,""""""
Shadow 3,"""Lianthus!""","""¡Lianthus!""","""Lianthus!""","""Lianthus!""","""Lianthus!""","""Lianthus! ""","""Lianthus!""","""Lianthus!""",,""""""
Shadow 4,"""I will have your shadow!""","""¡Tendré tu sombra!""","""Я заберу твою тень!""","""Eu terei a sua sombra!""","""J'aurais ton ombre!""","""Ich werde dir deinen Schatten nehmen. ""","""Jag ska ta din skugga!""","""I'll have ye swimmin' with the fishies!""",,""""""
Shadow 5 (DEFEAT),"""How could this be!!""","""¿¡Cómo es posible!?""","""Как это возможно?!""","""Como é possível?""","""Comment est-ce possible!!""","""Wie konnte das passieren?! ""","""Det är omöjligt!!""","""Shiver me timbers! How this could be happenin'?!""",,""""""
Shadow 6 (last character will repeat),"""Noooo""","""Noooo""","""Неееееет""","""Nãããããão""","""Noooon""","""Neeeiiiin""","""Neeeeeeeej""","""Arrrggggghhhhh!!!""",,""""""
Rogue (ending),"""I see now..""","""Ya veo...""","""Теперь я вижу""","""Agora eu vejo...""","""Je vois maintenant..""","""Ich sehe es jetzt... ""","""Jag kan se det nu""","""Me visions are clear now...""",,""""""
,"""The darkness had clouded my mind..""","""La oscuridad me nubló la mente.""","""Тьма затуманила мой разум""","""A escuridão nublou minha mente.""","""L'obscurité avait troublé mon esprit..""","""Die Dunkelheit hatte meinen Geist benebelt. ""","""Mörkret hade fördunklat mitt sinne...""","""The devil's been cloudin' me thoughts""",,""""""
,"""My visions were nothing but shadows.""","""Mis visiones fueron nada más que sombras.""","""Мои видения были лишь тенями""","""Minhas visões não eram nada além de sombras.""","""Mes visions n'étaient rien d'autre que des ombres.""","""Meine Visionen waren nichts als Schatten. ""","""Mina uppenbarelser var endast skuggor""","""I've been seein' double for too long""",,""""""
,"""I can dream in light now.""","""Puedo soñar con la luz ahora.""","""Теперь я могу спать спокойно.""","""Eu posso sonhar com a luz agora.""","""Je peux rêver de lumière maintenant.""","""Nun kann ich wieder vom Licht träumen.""","""Nu kan jag drömma i ljus.""","""Guess I'll need to lay off the ale, eh?""",,""""""
,"""Thank You.""","""Gracias.""","""Спасибо.""","""Obrigado.""","""Merci.""","""Danke. ""","""Tack så mycket.""","""Cheers, mate!""",,""""""
More menu stuff,"""Hide GUI""","""Ocultar interfaz""","""Скрыть интерфейс""","""Ocultar Interface""","""Cacher l'interface ""","""Benutzeroberfläche ausblenden""","""Göm GUI""","""Hide yer map""",,""""""
,"""Delete Save File""","""Eliminar el archivo guardado,""","""Удалить сохранения""","""Apagar arquivo salvo""","""Supprimer la sauvegarde ""","""Speicherstand löschen""","""Ta bort sparad fil.""","""Maroon yer save data""",,""""""
,"""Are you sure??""","""¿¿Estás seguro/segura??""","""Вы уверены??""","""Tem certeza??""","""Tu es sûr?? ""","""Bist du dir sicher?? ""","""Är du säker??""","""Ya sure, mate??""",,""""""
Compass,"""Compass Unlocked!""","""¡Brújula desbloqueada!""","""Компас Разблокирован!""","""Bússola desbloqueada!""","""Boussole débloquée!""","""Kompass freigeschaltet! ""","""Compassen är Upplåst!""","""ya got th' compass!""",,""""""
,"""White Arrow points North""","""La flecha blanca apunta hacia el norte.""","""Белая Стрелка указывает на Север""","""A seta branca aponta pro norte""","""La Fléche Blanche pointe vers le Nord""","""Der weiße Pfeil zeigt nach Norden.""","""Den vita pilen pekar mot norr.""","""Tha arrow points north, mate!""",,""""""
Boy - Shadow Defeated,"""I think I remember the way home now.""","""Creo que recuerdo el camino a casa ahora.""","""Кажется я вспомнил путь домой""","""Acho agora eu lembro do caminho de casa.""","""Je pense que je me rappelle du chemin de retour maintenant.""","""Ich denke, ich erinnere mich jetzt wieder an den Heimweg.""","""Jag tror jag minns vägen hem nu.""","""I think I rememb'r me way home now...""",,""""""
,"""But i'll stay a little longer skele.""","""Pero me quedare un poco más, Skele.""","""Но я останусь еще ненадолго, Скеле.""","""Mas eu vou ficar um pouco mais, Skele.""","""Mais je vais rester un peu plus longtemps Skele.""","""Aber ich werde noch etwas bleiben, Skele. ""","""Men jag kommer stanna lite längre Skele.""","""But I think I'll stay put a while longer, eh rattlebones?""",,""""""
Witch - Shadow Defeated,"""I can't feel the darkness anymore.""","""Ya no siento la oscuridad.""","""Я больше не чувствую присутствия тьмы""","""Eu não consigo mais sentir a escuridão.""","""Je ne peux plus sentir l'obscurité.""","""Ich kann die Dunkelheit nicht mehr spüren. ""","""Jag kan inte känna mörkret längre.""","""Ay, I can't feel th' bilge no more.""",,""""""
,"""I'll practice safer magic from now on!""","""¡Practicaré magia más segura ahora!""","""С этого момента буду практиковать только безопасную магию!""","""Eu vou praticar magia mais segura de agora em diante!""","""Je vais pratiquer une magie plus sûre à partir de maintenant!""","""Von jetzt an werde ich ungefährlichere Magie verwenden!""","""Jag ska vara mer försiktig med magi från och med nu!""","""Yo ho! I'll practice safe witchcraft from now on!""",,""""""
Enter Dark tutorial (xbox),"""'Y' button to enter""","""«Y» para entrar""","""""Y"" для Подтвердить""","""Y' para entrar.""","""""Y"" pour se entrer""","""»Y« zum los""","""Tryck 'Y' för att börja""","""Mash th' ""Y"" button ta entar""",,""""""
Enter Dark tutorial (playstation),"""Triangle button to enter""","""«Triangulo» para entrar""","""""Треугольник"" для Подтвердить""","""Triângulo para entrar.""","""""Triangle"" pour se entrer""","""»Dreieck« zum los""","""Tryck 'Trekant' för att börja""","""Mash th' ""Y"" button ta entar""",,""""""
Enter Dark tutorial (pc),"""Shift to enter""","""«Shift» para entrar""","""Shift для Подтвердить""","""Shift para entrar.""","""""Shift"" pour se entrer""","""»Shift« zum los""","""Tryck 'Shift' för att börja""","""Mash th' ""Shift"" button ta entar""",,""""""
,"""""","""Entrar""","""Подтвердить""","""Entrar""","""Entrer ""","""Los""","""Börja""","""Set Sail""",,""""""
,"""""",,,"""""","""""",,"""""","""""",,""""""
,,,,"""""",,,,,,""""""
,,,,"""""",,,,,,""""""
,,,,,,,,,,""""""
,,,,,,,,,,""""""
,,,,,,,,,,""""""
,,,,,,,,,,""""""
,,,,,,,,,,""""""
,,,,,,,,,,""""""